Organization,Investors
Atomic Agro,Capital Lab Ventures
Bloxs,DOMO Invest
Zen Finance,Global Founders Capital
SIKUR,DXA Investments
Celcoin,Vox Capital
Turbi Car On Demand,DOMO Invest
mLabs,DOMO Invest
MODERN LOGISTICS,DXA Investments
Bling,Crescera Investimentos (f/k/a Bozano Investimentos)
ChefsClub,Confrapar
TutorMundi,Wharton Alumni Angels
CM Tecnologia,DNA Capital
Goomer,DOMO Invest
Ramper,Fabio Povoa
Alright,Inseed Investimentos
Datarisk.io,Crescera Investimentos (f/k/a Bozano Investimentos)
KM Online,Darwin Startups
TNH Health,Valor Capital Group
Iugu,IndicatorCapital
PlataformaVerde,DGF Investimentos
Instaviagem,DOMO Invest
Dattos,Invest Tech
TaCerto.com,500 Startups
Smartbreeder,Inseed Investimentos
Brazil Plus,Bamboo Capital Partners
NEXXTO,SP Ventures
Code Money,ACE Startups
Clipescola,Invest Tech
Monkey Exchange,Wayra
Beep Saúde,DNA Capital
Playmove,Inseed Investimentos
Fretadão,DOMO Invest
CowMed,Inseed Investimentos
bLive,Criatec 2
Meu TUDO,Grupo MCF
Capital Empreendedor,Master Minds Capital
PiniOn,Eduardo Grinberg
Mark 2 Market,A5 Capital Partners
dLieve,Bossa Nova Investimentos
Mude Wellness Media,Marcus Correa
EvoBooks,Plataforma Capital Partners
Be Academy,Janguie Diniz
Grupo KPG,Shirleyson Kaisser
Widbook,W7 Venture Capital
Chipus Microelectronics,Crescera Investimentos (f/k/a Bozano Investimentos)
Benie,Darwin Capital
Ativy,Daniel Amato
Agente Imovel Inteligencia de Busca,Vostok New Ventures
PaggCerto,Crescera Investimentos (f/k/a Bozano Investimentos)
Pluricell Biotech,Libbs Farmacêutica
OnCase,Crescera Investimentos (f/k/a Bozano Investimentos)
Braincare Health Tecnology,Green Rock Family Office
Docway Co.,Garantia Investimentos
Sellbie,Inseed Investimentos
SVATech,Inseed Investimentos
VarejOnline,Inseed Investimentos
Nanovetores Group,Inseed Investimentos
OneGrid,Inseed Investimentos
LadyDriver,KICK Ventures
Check Plant,CVENTURES
Auvo,ACE Startups
Genotyping,SP Ventures
PagueVeloz,Darwin Startups
BluePex,Inseed Investimentos
SkyDrones,Daniel Estima Bandeira
Inprenha,SP Ventures
Lupeon,SP Ventures
Salux,CVENTURES
Viridis Energy,Inseed Investimentos
mobLee,Bzplan
Proprietário Direto,Wayra
CHP Brasil,Inseed Investimentos
Intergado,Inseed Investimentos
Oxi Ambiental,Inseed Investimentos
Fumajet,Crescera Investimentos (f/k/a Bozano Investimentos)
ElevenChimps,Leonardo Cid Ferreira
Akmey Biotecnologia Têxtil,Inseed Investimentos
Solis,Inseed Investimentos
Next Academy,Felipe Melo
Izzui,Confrapar
Atlas Governance,Nexto Investments
Glambox,initial.vc
InTaxi Media,CVENTURES
Grupo RPH,Inseed Investimentos
Airu,Rocket Internet
Nerus,Crescera Investimentos (f/k/a Bozano Investimentos)
aaTag,Wayra
Apoia.Org,KICK Ventures
Cursa.me,Wayra
HSystem,GPinheiro
Carobhouse,CRP Companhia de Participações
Vitrina,Christian Ribeiro
iCarros,Banco Itau
PagoPago,Gabriel Menegatti
Gobooks,21212
VTX,Wayra
Rota dos Concursos,500 Startups
b-datum,Haya
Professores de Plantão,Wayra
Jooobz,Erico Scorpioni
Estrela Digital,Pontomobi
Instapagar,Ideiasfund Brazil
Nano,CRP Companhia de Participações
CEPA Safe Drive,Prosperitas Capital Partners
Digilab,CRP Companhia de Participações
Celer Biotecnologia,Inseed Investimentos
Cianet,Inseed Investimentos
Sales Driver,VenGrowth Asset Management
FK Biotecnologia,CRP Companhia de Participações
Inviron,SP Ventures
Digitel,CRP Companhia de Participações
Duroline,CRP Companhia de Participações
Ideia.com,Warburg Pincus
Microinox,CRP Companhia de Participações
CVD Vale,SP Ventures
Impacto,CRP Companhia de Participações
Ikro,CRP Companhia de Participações
Fulano,E-nicial Ventures
